flare_id,flare_class_GOES,flare_start_UTC,flare_end_UTC,projectids,obs_ids
2209300555,,2022-09-30 05:48:36.325000+00:00,2022-09-30 06:02:36.327000+00:00,"['G0002', 'G0002', 'G0002', 'G0002']","[1348552008, 1348552304, 1348552600, 1348552896]"
2209300615,C1.9,2022-09-30 06:13:24.328000+00:00,2022-09-30 06:22:20.329000+00:00,"['G0002', 'G0002', 'G0002']","[1348553488, 1348553784, 1348554080]"
2209300632,C1.8,2022-09-30 06:30:12.330000+00:00,2022-09-30 06:35:00.330000+00:00,"['G0002', 'G0060', 'G0060']","[1348554376, 1348554768, 1348554800]"
2210292312,B8.1,2022-10-29 23:02:18.307000+00:00,2022-10-29 23:14:58.309000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1351119720, 1351119792, 1351119864, 1351119936, 1351120008, 1351120080, 1351120152, 1351120224, 1351120296, 1351120368, 1351120440, 1351120512]"
2211120438,B6.2,2022-11-12 04:37:19.879000+00:00,2022-11-12 04:42:43.879000+00:00,"['G0060', 'G0060']","[1352262992, 1352263192]"
2211132316,C1.1,2022-11-13 23:14:56.059000+00:00,2022-11-13 23:18:04.059000+00:00,"['C001', 'C001', 'C001']","[1352416512, 1352416584, 1352416656]"
2211152308,C2.9,2022-11-15 23:03:56.060000+00:00,2022-11-15 23:22:00.062000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1352588592, 1352588664, 1352588736, 1352588808, 1352588880, 1352588952, 1352589024, 1352589096, 1352589168, 1352589240, 1352589312, 1352589384, 1352589456, 1352589528, 1352589600, 1352589672]"
2212142137,M1.3,2022-12-14 21:35:12.417000+00:00,2022-12-14 21:43:52.418000+00:00,"['D0043', 'D0043', 'D0043', 'D0043', 'D0043']","[1355088920, 1355089040, 1355089160, 1355089280, 1355089400]"
2212142149,M2.0,2022-12-14 21:45:24.418000+00:00,2022-12-14 21:55:16.419000+00:00,"['D0043', 'D0043', 'D0043', 'D0043', 'D0043', 'D0043']","[1355089520, 1355089640, 1355089760, 1355089880, 1355090000, 1355090120]"
2212152314,M1.4,2022-12-15 23:13:08.177000+00:00,2022-12-15 23:15:52.178000+00:00,"['C001', 'C001', 'C001']","[1355181168, 1355181240, 1355181312]"
2212160708,C4.6,2022-12-16 07:07:08.127000+00:00,2022-12-16 07:11:00.127000+00:00,"['G0060', 'G0060']","[1355209656, 1355209688]"
2212170014,C3.7,2022-12-17 00:12:44.034000+00:00,2022-12-17 00:16:12.034000+00:00,"['G0060', 'G0060']","[1355271024, 1355271224]"
